asset_id,asset_type,business_unit,business_criticality,failed_logons_24h,privileged_changes_7d,suspicious_powershell_7d,suricata_high_alerts_7d,firewall_policy_exposure,attack_path_score,vulnerability_score,control_effectiveness,residual_risk_score,evidence_integrity_score,risk_trend_30d,generated_at
LHT-Asset-215,workstation,business_applications,3,17,7,7,1,21,35,68,89,45,65,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-216,siem_server,identity_services,4,96,6,4,18,55,65,60,38,72,54,11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-217,windows_server,finance_operations,1,51,18,6,17,85,68,86,35,88,49,38,2026-07-06T07:33:59.592310+00:00
LHT-Asset-218,siem_server,network_services,1,5,4,6,5,62,58,13,51,37,82,-3,2026-07-06T07:33:59.592310+00:00
LHT-Asset-219,firewall,security_operations,1,12,10,8,1,20,39,96,84,51,97,32,2026-07-06T07:33:59.592310+00:00
LHT-Asset-220,domain_controller,security_operations,2,10,5,8,12,74,36,87,52,58,85,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-221,windows_server,network_services,5,8,8,5,1,9,11,26,72,20,94,-14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-222,windows_server,identity_services,1,72,9,8,20,58,78,93,67,79,41,3,2026-07-06T07:33:59.592310+00:00
LHT-Asset-223,firewall,network_services,3,64,10,12,10,50,50,100,30,89,54,37,2026-07-06T07:33:59.592310+00:00
LHT-Asset-224,workstation,finance_operations,4,11,1,6,1,14,28,91,47,48,62,32,2026-07-06T07:33:59.592310+00:00
LHT-Asset-225,firewall,business_applications,3,18,5,5,8,85,94,37,43,50,94,-4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-226,application_server,identity_services,2,17,0,8,3,80,43,33,74,40,94,-21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-227,firewall,identity_services,1,31,0,1,4,66,74,38,51,49,57,35,2026-07-06T07:33:59.592310+00:00
LHT-Asset-228,application_server,identity_services,3,45,9,1,8,7,49,91,64,51,76,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-229,firewall,identity_services,1,37,6,5,2,12,10,36,72,29,80,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-230,windows_server,identity_services,3,2,7,6,4,17,51,21,73,32,92,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-231,linux_server,identity_services,2,14,6,5,6,23,92,95,42,48,58,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-232,firewall,security_operations,4,78,7,2,11,30,100,31,36,66,58,34,2026-07-06T07:33:59.592310+00:00
LHT-Asset-233,linux_server,identity_services,3,37,9,4,9,12,40,52,53,49,91,20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-234,application_server,identity_services,2,5,3,0,0,87,24,59,69,21,72,-23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-235,firewall,business_applications,4,38,5,3,6,9,53,55,50,36,68,-14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-236,siem_server,network_services,4,40,5,6,10,67,78,79,81,55,95,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-237,workstation,finance_operations,3,15,2,1,11,10,68,64,51,52,99,28,2026-07-06T07:33:59.592310+00:00
LHT-Asset-238,linux_server,security_operations,3,43,0,0,0,75,36,9,62,20,73,-2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-239,linux_server,identity_services,2,39,7,5,0,67,64,61,60,37,92,-8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-240,linux_server,identity_services,1,51,10,15,4,73,98,69,54,91,90,49,2026-07-06T07:33:59.592310+00:00
LHT-Asset-241,firewall,finance_operations,3,27,10,0,3,53,35,41,82,23,73,2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-242,firewall,identity_services,3,42,7,2,1,31,11,52,48,36,82,25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-243,workstation,finance_operations,4,24,5,0,5,23,57,47,46,28,83,-22,2026-07-06T07:33:59.592310+00:00
LHT-Asset-244,firewall,business_applications,5,41,6,5,3,71,55,44,52,42,67,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-245,linux_server,network_services,5,13,4,2,7,48,51,55,40,37,98,-12,2026-07-06T07:33:59.592310+00:00
LHT-Asset-246,firewall,finance_operations,4,44,0,2,3,67,24,98,84,34,98,-21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-247,firewall,business_applications,3,40,7,1,0,38,26,37,50,24,89,7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-248,linux_server,security_operations,3,41,2,2,12,72,47,29,77,45,92,7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-249,siem_server,identity_services,2,8,6,3,1,11,83,48,47,29,97,-21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-250,siem_server,finance_operations,2,29,7,5,2,15,57,25,46,45,72,31,2026-07-06T07:33:59.592310+00:00
