asset_id,asset_type,high_risk_probability,predicted_risk_tier,validation_outcome,top_risk_contributors,explainability_statement,generated_at
LHT-Asset-059,siem_server,0.0053,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 94.0, ""contribution"": -0.516096, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 23.0, ""contribution"": -0.426117, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 24.0, ""contribution"": -0.381263, ""direction"": ""Reduces predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 96.0, ""contribution"": -0.372706, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.247159+00:00
LHT-Asset-060,application_server,0.0192,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 39.0, ""contribution"": 0.468571, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 28.0, ""contribution"": -0.363301, ""direction"": ""Reduces predicted risk""}, {""feature"": ""privileged_changes_7d"", ""feature_value"": 0.0, ""contribution"": -0.328147, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.247326+00:00
LHT-Asset-061,workstation,0.3955,Medium,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 35.0, ""contribution"": -0.524802, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}, {""feature"": ""failed_logons_24h"", ""feature_value"": 1.0, ""contribution"": -0.326987, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.247490+00:00
LHT-Asset-062,linux_server,0.5389,High,True Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 26.0, ""contribution"": -0.392125, ""direction"": ""Reduces predicted risk""}, {""feature"": ""privileged_changes_7d"", ""feature_value"": 0.0, ""contribution"": -0.328147, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 49.0, ""contribution"": 0.324384, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.247677+00:00
LHT-Asset-063,domain_controller,0.9987,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 6.0, ""contribution"": 2.817424, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 19.0, ""contribution"": 1.803918, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 75.0, ""contribution"": 1.025561, ""direction"": ""Increases predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 86.0, ""contribution"": 0.562251, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.247843+00:00
LHT-Asset-064,domain_controller,0.3744,Medium,False Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.410973, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 39.0, ""contribution"": 0.398611, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 5.0, ""contribution"": -0.338849, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248005+00:00
LHT-Asset-065,domain_controller,0.0158,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 15.0, ""contribution"": 0.814622, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 5.0, ""contribution"": -0.694773, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 4.0, ""contribution"": -0.491903, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 37.0, ""contribution"": -0.447284, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248169+00:00
LHT-Asset-066,windows_server,0.2561,Medium,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 11.0, ""contribution"": -0.608302, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 80.0, ""contribution"": -0.283261, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248348+00:00
LHT-Asset-067,windows_server,0.9716,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 7.0, ""contribution"": 3.955346, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 15.0, ""contribution"": 1.191699, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 78.0, ""contribution"": 1.141838, ""direction"": ""Increases predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 100.0, ""contribution"": 0.775303, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248516+00:00
LHT-Asset-068,domain_controller,0.999,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 8.0, ""contribution"": 5.093269, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 17.0, ""contribution"": 1.497809, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 85.0, ""contribution"": 1.413151, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 93.0, ""contribution"": 0.79952, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248687+00:00
LHT-Asset-069,siem_server,0.0429,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 34.0, ""contribution"": -0.563561, ""direction"": ""Reduces predicted risk""}, {""feature"": ""network_risk_score"", ""feature_value"": 30.0, ""contribution"": 0.349804, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.248855+00:00
LHT-Asset-070,windows_server,0.0108,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 5.0, ""contribution"": -0.338849, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suspicious_powershell_7d"", ""feature_value"": 0.0, ""contribution"": -0.329617, ""direction"": ""Reduces predicted risk""}, {""feature"": ""privileged_changes_7d"", ""feature_value"": 0.0, ""contribution"": -0.328147, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 41.0, ""contribution"": -0.292248, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249019+00:00
LHT-Asset-071,firewall,0.0292,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 22.0, ""contribution"": -1.02867, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 1.0, ""contribution"": -0.951068, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 5.0, ""contribution"": -0.694773, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249182+00:00
LHT-Asset-072,workstation,0.8298,Critical,True Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 5.0, ""contribution"": -0.694773, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 28.0, ""contribution"": 0.627178, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 10.0, ""contribution"": 0.426425, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249387+00:00
LHT-Asset-073,application_server,0.0029,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 92.0, ""contribution"": -0.482834, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 29.0, ""contribution"": -0.321063, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249566+00:00
LHT-Asset-074,application_server,0.0302,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 0.0, ""contribution"": -1.104122, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 94.0, ""contribution"": -0.353759, ""direction"": ""Reduces predicted risk""}, {""feature"": ""evidence_integrity_score"", ""feature_value"": 100.0, ""contribution"": 0.324547, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249747+00:00
LHT-Asset-075,application_server,0.0037,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 81.0, ""contribution"": 0.400525, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 39.0, ""contribution"": -0.369766, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 85.0, ""contribution"": -0.366417, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 50.0, ""contribution"": 0.309965, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.249914+00:00
LHT-Asset-076,firewall,0.1691,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 27.0, ""contribution"": -0.377713, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 65.0, ""contribution"": 0.309265, ""direction"": ""Increases predicted risk""}, {""feature"": ""evidence_integrity_score"", ""feature_value"": 57.0, ""contribution"": -0.21509, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.250078+00:00
LHT-Asset-077,linux_server,0.0267,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 86.0, ""contribution"": 0.472584, ""direction"": ""Increases predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.410973, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.250242+00:00
LHT-Asset-078,firewall,0.2694,Medium,True Negative,"[{""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 58.0, ""contribution"": 0.366657, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 66.0, ""contribution"": 0.326774, ""direction"": ""Increases predicted risk""}, {""feature"": ""evidence_integrity_score"", ""feature_value"": 97.0, ""contribution"": 0.286898, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.250408+00:00
LHT-Asset-079,linux_server,0.0236,Low,True Negative,"[{""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 0.0, ""contribution"": -1.104122, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 25.0, ""contribution"": -0.366045, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 84.0, ""contribution"": -0.349786, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 64.0, ""contribution"": 0.291756, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.250687+00:00
LHT-Asset-080,firewall,0.0009,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 0.0, ""contribution"": -4.010113, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 14.0, ""contribution"": -1.338742, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 1.0, ""contribution"": -0.951068, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 3.0, ""contribution"": -0.700841, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.250960+00:00
LHT-Asset-081,workstation,0.0244,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 21.0, ""contribution"": -1.067429, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 17.0, ""contribution"": -0.531172, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 17.0, ""contribution"": -0.521831, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.251257+00:00
LHT-Asset-082,siem_server,0.8657,Critical,True Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 5.0, ""contribution"": 0.489376, ""direction"": ""Increases predicted risk""}, {""feature"": ""privileged_changes_7d"", ""feature_value"": 1.0, ""contribution"": -0.277849, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.251557+00:00
LHT-Asset-083,workstation,0.0214,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 30.0, ""contribution"": -0.718597, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.251843+00:00
LHT-Asset-084,workstation,0.6545,High,True Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 16.0, ""contribution"": -0.536243, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 94.0, ""contribution"": -0.516096, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.252124+00:00
LHT-Asset-085,workstation,0.9782,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 7.0, ""contribution"": 3.955346, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 87.0, ""contribution"": 1.49067, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 15.0, ""contribution"": 1.191699, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 100.0, ""contribution"": 0.922084, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.252438+00:00
LHT-Asset-086,linux_server,0.9455,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 5.0, ""contribution"": 1.679501, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 60.0, ""contribution"": 0.444175, ""direction"": ""Increases predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 44.0, ""contribution"": 0.396478, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.252694+00:00
LHT-Asset-087,workstation,0.498,Medium,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 11.0, ""contribution"": 0.57948, ""direction"": ""Increases predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 88.0, ""contribution"": -0.41631, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 27.0, ""contribution"": -0.335609, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.252926+00:00
LHT-Asset-088,firewall,0.0085,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 32.0, ""contribution"": -0.641079, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 21.0, ""contribution"": -0.461136, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.253298+00:00
LHT-Asset-089,domain_controller,0.3535,Medium,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 37.0, ""contribution"": 0.497409, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 94.0, ""contribution"": -0.353759, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.253672+00:00
LHT-Asset-090,siem_server,0.1685,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 92.0, ""contribution"": -0.482834, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 10.0, ""contribution"": 0.426425, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.254004+00:00
LHT-Asset-091,domain_controller,0.0043,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 6.0, ""contribution"": -0.680361, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 87.0, ""contribution"": -0.399679, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.254423+00:00
